,lat,lon,pttid,time
239,25.6499,138.707,300234063948880,2018-09-30 00:03:00
240,25.6624,138.691,300234063948880,2018-09-30 01:00:00
241,25.6752,138.67,300234063948880,2018-09-30 02:03:00
242,25.689,138.653,300234063948880,2018-09-30 03:00:00
243,25.7054,138.642,300234063948880,2018-09-30 04:01:00
244,25.7213,138.639,300234063948880,2018-09-30 05:03:00
245,25.7352,138.635,300234063948880,2018-09-30 06:02:00
246,25.7498,138.631,300234063948880,2018-09-30 07:00:00
247,25.7626,138.631,300234063948880,2018-09-30 08:00:00
248,25.7755,138.63,300234063948880,2018-09-30 09:02:00
249,25.7845,138.634,300234063948880,2018-09-30 10:00:00
250,25.7877,138.632,300234063948880,2018-09-30 11:00:00
251,25.7865,138.629,300234063948880,2018-09-30 12:01:00
252,25.7809,138.624,300234063948880,2018-09-30 13:00:00
253,25.7728,138.611,300234063948880,2018-09-30 14:02:00
254,25.768,138.6,300234063948880,2018-09-30 15:00:00
255,25.7648,138.582,300234063948880,2018-09-30 16:03:00
256,25.7652,138.57,300234063948880,2018-09-30 17:00:00
257,25.7659,138.552,300234063948880,2018-09-30 18:00:00
258,25.7678,138.534,300234063948880,2018-09-30 19:00:00
259,25.7722,138.511,300234063948880,2018-09-30 20:02:00
260,25.7787,138.491,300234063948880,2018-09-30 21:02:00
261,25.7838,138.471,300234063948880,2018-09-30 22:00:00
262,25.7925,138.452,300234063948880,2018-09-30 23:00:00
263,25.8019,138.433,300234063948880,2018-10-01 00:01:00
264,25.811,138.413,300234063948880,2018-10-01 01:00:00
265,25.8217,138.387,300234063948880,2018-10-01 02:00:00
266,25.8365,138.361,300234063948880,2018-10-01 03:04:00
267,-90.0,-180.0,300234063948880,2018-10-01 04:04:00
268,25.8614,138.327,300234063948880,2018-10-01 05:00:00
269,-90.0,-180.0,300234063948880,2018-10-01 06:04:00
270,25.883,138.311,300234063948880,2018-10-01 07:01:00
271,25.8915,138.307,300234063948880,2018-10-01 08:01:00
272,25.8968,138.302,300234063948880,2018-10-01 09:00:00
273,25.902,138.296,300234063948880,2018-10-01 10:00:00
274,25.9046,138.286,300234063948880,2018-10-01 11:01:00
275,25.9056,138.268,300234063948880,2018-10-01 12:00:00
276,25.906,138.249,300234063948880,2018-10-01 13:00:00
277,25.9043,138.231,300234063948880,2018-10-01 14:02:00
278,25.9053,138.216,300234063948880,2018-10-01 15:00:00
279,25.9069,138.198,300234063948880,2018-10-01 16:01:00
280,25.9061,138.176,300234063948880,2018-10-01 17:00:00
281,25.9063,138.156,300234063948880,2018-10-01 18:04:00
282,25.9046,138.134,300234063948880,2018-10-01 19:00:00
283,25.9052,138.112,300234063948880,2018-10-01 20:00:00
284,25.9096,138.09,300234063948880,2018-10-01 21:00:00
285,25.9141,138.067,300234063948880,2018-10-01 22:00:00
286,25.9171,138.046,300234063948880,2018-10-01 23:00:00
287,25.9224,138.029,300234063948880,2018-10-02 00:00:00
288,25.9266,138.013,300234063948880,2018-10-02 01:02:00
289,25.9314,137.998,300234063948880,2018-10-02 02:00:00
290,25.9362,137.978,300234063948880,2018-10-02 03:00:00
291,25.9401,137.952,300234063948880,2018-10-02 04:00:00
292,25.9461,137.927,300234063948880,2018-10-02 05:00:00
293,25.9499,137.904,300234063948880,2018-10-02 06:00:00
294,25.9582,137.888,300234063948880,2018-10-02 07:00:00
295,25.964,137.871,300234063948880,2018-10-02 08:00:00
296,25.9698,137.854,300234063948880,2018-10-02 09:04:00
297,25.9706,137.838,300234063948880,2018-10-02 10:00:00
298,25.9696,137.815,300234063948880,2018-10-02 11:04:00
299,25.9708,137.796,300234063948880,2018-10-02 12:02:00
300,25.9749,137.779,300234063948880,2018-10-02 13:00:00
301,25.9792,137.764,300234063948880,2018-10-02 14:01:00
302,25.9806,137.753,300234063948880,2018-10-02 15:00:00
303,25.982,137.743,300234063948880,2018-10-02 16:00:00
304,25.9845,137.732,300234063948880,2018-10-02 17:00:00
305,25.9852,137.72,300234063948880,2018-10-02 18:02:00
306,25.9836,137.705,300234063948880,2018-10-02 19:00:00
307,25.9775,137.689,300234063948880,2018-10-02 20:00:00
308,25.9698,137.667,300234063948880,2018-10-02 21:00:00
309,25.9675,137.647,300234063948880,2018-10-02 22:00:00
310,25.9699,137.628,300234063948880,2018-10-02 23:00:00
311,25.97,137.611,300234063948880,2018-10-03 00:00:00
312,25.9677,137.593,300234063948880,2018-10-03 01:00:00
313,25.9662,137.576,300234063948880,2018-10-03 02:00:00
314,25.9627,137.556,300234063948880,2018-10-03 03:00:00
315,25.9607,137.536,300234063948880,2018-10-03 04:00:00
316,25.9592,137.515,300234063948880,2018-10-03 05:00:00
317,25.9571,137.492,300234063948880,2018-10-03 06:00:00
318,25.9565,137.473,300234063948880,2018-10-03 07:00:00
319,25.9547,137.456,300234063948880,2018-10-03 08:00:00
320,25.9522,137.442,300234063948880,2018-10-03 09:00:00
321,25.9507,137.424,300234063948880,2018-10-03 10:00:00
322,25.9501,137.409,300234063948880,2018-10-03 11:00:00
323,25.9483,137.395,300234063948880,2018-10-03 12:00:00
324,25.9451,137.384,300234063948880,2018-10-03 13:00:00
325,25.9407,137.371,300234063948880,2018-10-03 14:01:00
326,25.9376,137.36,300234063948880,2018-10-03 15:00:00
327,25.9337,137.351,300234063948880,2018-10-03 16:00:00
328,25.9295,137.34,300234063948880,2018-10-03 17:00:00
329,25.924,137.327,300234063948880,2018-10-03 18:00:00
330,25.9156,137.315,300234063948880,2018-10-03 19:00:00
331,25.9041,137.304,300234063948880,2018-10-03 20:00:00
332,25.8941,137.287,300234063948880,2018-10-03 21:00:00
333,25.8863,137.267,300234063948880,2018-10-03 22:00:00
334,25.8792,137.248,300234063948880,2018-10-03 23:00:00
335,25.8721,137.232,300234063948880,2018-10-04 00:00:00
336,25.8646,137.215,300234063948880,2018-10-04 01:00:00
337,25.8603,137.204,300234063948880,2018-10-04 02:00:00
338,25.8509,137.187,300234063948880,2018-10-04 03:00:00
339,25.8449,137.175,300234063948880,2018-10-04 04:00:00
340,25.8387,137.162,300234063948880,2018-10-04 05:03:00
341,,,,2018-10-04 06:00:00
342,25.8226,137.141,300234063948880,2018-10-04 07:01:00
343,25.8161,137.127,300234063948880,2018-10-04 08:00:00
344,25.8111,137.118,300234063948880,2018-10-04 09:00:00
345,25.8036,137.11,300234063948880,2018-10-04 10:00:00
346,25.7971,137.101,300234063948880,2018-10-04 11:00:00
347,25.7899,137.09,300234063948880,2018-10-04 12:00:00
348,25.781,137.081,300234063948880,2018-10-04 13:00:00
349,25.7706,137.072,300234063948880,2018-10-04 14:00:00
350,25.7573,137.061,300234063948880,2018-10-04 15:00:00
351,25.746,137.052,300234063948880,2018-10-04 16:00:00
352,25.7353,137.046,300234063948880,2018-10-04 17:00:00
353,25.7207,137.041,300234063948880,2018-10-04 18:00:00
354,25.7022,137.035,300234063948880,2018-10-04 19:00:00
355,25.6829,137.029,300234063948880,2018-10-04 20:00:00
356,25.6663,137.018,300234063948880,2018-10-04 21:00:00
357,25.6493,137.005,300234063948880,2018-10-04 22:04:00
358,25.6373,136.995,300234063948880,2018-10-04 23:00:00
359,25.627,136.982,300234063948880,2018-10-05 00:00:00
360,25.618,136.97,300234063948880,2018-10-05 01:00:00
361,25.6079,136.959,300234063948880,2018-10-05 02:00:00
362,25.5959,136.951,300234063948880,2018-10-05 03:01:00
363,25.5824,136.939,300234063948880,2018-10-05 04:00:00
364,25.567,136.932,300234063948880,2018-10-05 05:00:00
365,25.5516,136.922,300234063948880,2018-10-05 06:00:00
366,25.5383,136.912,300234063948880,2018-10-05 07:01:00
367,25.5279,136.903,300234063948880,2018-10-05 08:01:00
368,25.5178,136.892,300234063948880,2018-10-05 09:00:00
369,25.5117,136.883,300234063948880,2018-10-05 10:00:00
370,25.5071,136.878,300234063948880,2018-10-05 11:00:00
371,25.5035,136.875,300234063948880,2018-10-05 12:00:00
372,25.4983,136.875,300234063948880,2018-10-05 13:00:00
373,25.493,136.879,300234063948880,2018-10-05 14:01:00
374,25.4869,136.882,300234063948880,2018-10-05 15:00:00
375,25.4773,136.889,300234063948880,2018-10-05 16:00:00
376,25.4623,136.897,300234063948880,2018-10-05 17:00:00
377,25.4412,136.903,300234063948880,2018-10-05 18:01:00
378,25.4195,136.903,300234063948880,2018-10-05 19:00:00
379,25.3986,136.902,300234063948880,2018-10-05 20:00:00
380,25.3768,136.896,300234063948880,2018-10-05 21:00:00
381,25.3575,136.888,300234063948880,2018-10-05 22:00:00
382,25.341,136.881,300234063948880,2018-10-05 23:00:00
383,25.3268,136.873,300234063948880,2018-10-06 00:00:00
384,25.3811,136.851,300234063948880,2018-10-06 01:00:00
385,25.3053,136.861,300234063948880,2018-10-06 02:04:00
386,25.3024,136.848,300234063948880,2018-10-06 03:01:00
387,25.2994,136.841,300234063948880,2018-10-06 04:01:00
388,25.2965,136.836,300234063948880,2018-10-06 05:00:00
389,25.2917,136.831,300234063948880,2018-10-06 06:00:00
390,-90.0,-180.0,300234063948880,2018-10-06 07:04:00
391,25.2837,136.824,300234063948880,2018-10-06 08:01:00
392,,,,2018-10-06 09:00:00
393,25.2863,136.821,300234063948880,2018-10-06 10:00:00
394,25.2871,136.825,300234063948880,2018-10-06 11:00:00
395,25.2836,136.83,300234063948880,2018-10-06 12:00:00
396,25.2819,136.84,300234063948880,2018-10-06 13:00:00
397,25.2773,136.85,300234063948880,2018-10-06 14:02:00
398,25.2708,136.862,300234063948880,2018-10-06 15:00:00
399,25.2639,136.875,300234063948880,2018-10-06 16:00:00
400,25.2513,136.888,300234063948880,2018-10-06 17:00:00
401,25.2401,136.9,300234063948880,2018-10-06 18:00:00
402,25.2253,136.908,300234063948880,2018-10-06 19:00:00
403,25.2121,136.913,300234063948880,2018-10-06 20:00:00
404,25.196,136.916,300234063948880,2018-10-06 21:00:00
405,25.1801,136.917,300234063948880,2018-10-06 22:00:00
406,25.1671,136.917,300234063948880,2018-10-06 23:00:00
407,25.1573,136.916,300234063948880,2018-10-07 00:00:00
408,25.1469,136.914,300234063948880,2018-10-07 01:00:00
409,25.1369,136.912,300234063948880,2018-10-07 02:00:00
410,25.1316,136.911,300234063948880,2018-10-07 03:00:00
411,25.1248,136.91,300234063948880,2018-10-07 04:00:00
412,25.1182,136.909,300234063948880,2018-10-07 05:00:00
413,25.11,136.907,300234063948880,2018-10-07 06:00:00
414,25.1033,136.903,300234063948880,2018-10-07 07:00:00
415,25.098,136.899,300234063948880,2018-10-07 08:00:00
416,25.0975,136.895,300234063948880,2018-10-07 09:04:00
417,25.1021,136.892,300234063948880,2018-10-07 10:00:00
418,25.1115,136.892,300234063948880,2018-10-07 11:00:00
419,25.1228,136.898,300234063948880,2018-10-07 12:00:00
420,25.1314,136.909,300234063948880,2018-10-07 13:00:00
421,25.137,136.924,300234063948880,2018-10-07 14:00:00
422,25.1398,136.941,300234063948880,2018-10-07 15:00:00
423,25.139,136.959,300234063948880,2018-10-07 16:00:00
424,25.1345,136.977,300234063948880,2018-10-07 17:00:00
425,25.1312,136.993,300234063948880,2018-10-07 18:00:00
426,25.1239,137.009,300234063948880,2018-10-07 19:02:00
427,25.1185,137.022,300234063948880,2018-10-07 20:00:00
428,25.1039,137.037,300234063948880,2018-10-07 21:00:00
429,25.0888,137.049,300234063948880,2018-10-07 22:03:00
430,25.0748,137.057,300234063948880,2018-10-07 23:00:00
431,25.065,137.064,300234063948880,2018-10-08 00:00:00
432,25.0587,137.072,300234063948880,2018-10-08 01:00:00
433,25.0528,137.08,300234063948880,2018-10-08 02:00:00
434,25.0455,137.088,300234063948880,2018-10-08 03:00:00
435,25.0366,137.096,300234063948880,2018-10-08 04:00:00
436,25.0312,137.105,300234063948880,2018-10-08 05:00:00
437,25.0253,137.109,300234063948880,2018-10-08 06:00:00
438,25.0203,137.11,300234063948880,2018-10-08 07:00:00
439,25.017,137.108,300234063948880,2018-10-08 08:00:00
440,25.0133,137.108,300234063948880,2018-10-08 09:00:00
441,25.0117,137.109,300234063948880,2018-10-08 10:00:00
442,25.0165,137.111,300234063948880,2018-10-08 11:00:00
443,25.0246,137.119,300234063948880,2018-10-08 12:00:00
444,25.0358,137.129,300234063948880,2018-10-08 13:00:00
445,25.0444,137.143,300234063948880,2018-10-08 14:01:00
446,25.05,137.158,300234063948880,2018-10-08 15:01:00
447,25.0546,137.174,300234063948880,2018-10-08 16:00:00
448,25.0601,137.191,300234063948880,2018-10-08 17:02:00
449,25.0601,137.208,300234063948880,2018-10-08 18:00:00
450,25.0589,137.227,300234063948880,2018-10-08 19:02:00
451,25.0531,137.24,300234063948880,2018-10-08 20:00:00
452,25.0519,137.254,300234063948880,2018-10-08 21:00:00
453,25.045,137.275,300234063948880,2018-10-08 22:00:00
454,25.0405,137.294,300234063948880,2018-10-08 23:00:00
455,25.0331,137.312,300234063948880,2018-10-09 00:00:00
456,25.0239,137.326,300234063948880,2018-10-09 01:00:00
457,25.0145,137.339,300234063948880,2018-10-09 02:00:00
458,25.0105,137.348,300234063948880,2018-10-09 03:00:00
459,25.0091,137.356,300234063948880,2018-10-09 04:00:00
460,25.07,137.403,300234063948880,2018-10-09 05:00:00
461,25.0374,137.331,300234063948880,2018-10-09 06:00:00
462,24.9727,137.232,300234063948880,2018-10-09 07:00:00
463,24.9009,137.138,300234063948880,2018-10-09 08:00:00
464,24.8668,137.022,300234063948880,2018-10-09 09:00:00
465,24.8435,136.899,300234063948880,2018-10-09 10:00:00
466,24.7688,136.809,300234063948880,2018-10-09 11:00:00
467,24.6851,136.734,300234063948880,2018-10-09 12:00:00
468,24.5783,136.71,300234063948880,2018-10-09 13:00:00
469,24.4919,136.669,300234063948880,2018-10-09 14:00:00
470,24.4993,136.549,300234063948880,2018-10-09 15:00:00
471,24.5071,136.506,300234063948880,2018-10-09 16:00:00
472,24.5118,136.502,300234063948880,2018-10-09 17:00:00
473,,,,2018-10-09 18:00:00
474,24.5205,136.504,300234063948880,2018-10-09 19:00:00
475,24.5274,136.508,300234063948880,2018-10-09 20:00:00
476,24.5095,136.561,300234063948880,2018-10-09 21:00:00
477,,,,2018-10-09 22:00:00
478,24.4925,136.699,300234063948880,2018-10-09 23:00:00
479,,,,2018-10-10 00:00:00
